Unique ID	Parent ID	Name	Tier 1	Tier 2	Tier 3	Description
AC-0000		Actionability Taxonomy	Actionability Taxonomy			Root node
AC-1000	AC-0000	Eligible	Actionability	Eligible		Suitable for activation with normal confidence
AC-2000	AC-0000	Eligible With Strong Confidence Only	Actionability	Eligible With Strong Confidence Only		Activate only with strong corroboration
AC-3000	AC-0000	Reporting Only	Actionability	Reporting Only		Good for analytics, not direct activation
AC-4000	AC-0000	Not Recommended For Activation	Actionability	Not Recommended For Activation		Do not activate directly
